评论时间,IP,用户ID,昵称,评论,评分
1683216000.0,山东,d61fba35-fe55-4d9b-864f-4bffb9a9b0d8,同程会员_4C6CDF07DCC,五一假期去的，人超级多，景区很大，全程走路超累，我们好在提前订了套票，还是很划算的，如果行程紧，索道往返，可以省下不少时间，也不会很累。可以订一级索道周边的民宿（民宿很多，都不错，凭心意选择就好啦），这样能早点上山或者太累了下山休息，次日再走也不错。十里画屏景色很好，心旷神怡。游玩路线是单行线，逛完一圈儿，累了可以坐滑道下来，再坐索道。可以自带食物上山，山上有服务区休息，也可以景区购买，挺方便的。索道最好早点儿排队，不然要等好久。山上温差大，需要注意下。,10
1673107200.0,河南,1d347bc8-8db3-4c27-9a5a-e90158164188,同程会员_8A3F60D9E3B,选择在2023年元旦去的，人特别多，刚好赶上老君山下雪，风景很美，值得推荐的地方。,10
1713801600.0,未知,8aced606-12c1-41cc-b0df-b89b98560b51,同程会员_41F2EA44CCA,景色真的超美，超好看！而且步道比较平缓，真的不咋累，可以欣赏美景。导游小李也很细心，各个事项都说的很详细，点赞！,10
1713456000.0,江西,33af3ea7-1a66-4d43-b645-ee2e175a84f3,同程会员_E1B83E48EAE,孔导游认真负责有经验，能够为游客着想，根据游客情况及时调整集合时间，关注赶高铁的游客怕赶不上火车,10
1695916800.0,河南,0352896f-28f4-44e6-ad57-d293e0ae7cfb,哒哒418,千万千万不要雨天上山，昨天和明天有雨的也不要上山，否则山上是雾是云海，全看运气，大概率是雾。天气预报是阴转小雨，我们11点半上山，没有坐二道索道，3点要到山顶时就开始起雾，到了十里画屏开始下雨，雾曾短时间（10分钟左右）散过，但很快又起雾。到云顶天宫时，又是雨又是雾，啥也看不了，我们很快就下山了。下图是雾短时散去时拍的。,6
1687536000.0,河南,c1e9ba35-d4b5-4f29-b659-4673be134d77,同程会员_F27D65DD6C8,缆车玻璃随时擦，很透亮，坐在里面拍照不受影响。坐了两道缆车，从十里画屏往上步行，一路景色很美很仙，登项也不是很累。就是山上播放的现代音乐感觉不太好，如果播放古典道教的轻音乐会更有意境。山下气温30多度，但山上很凉快，中午12点多都感觉不到热。,10
1681574400.0,河南,d33e1d49-09c6-4168-9b07-5601229dbf6d,Justin_Tsui,人太多，人太多，人太多。错峰出行，全部都是人挤人，体验感不好。坐第一段索道需要排队1个多小时，坐第二段索道需要排队40分钟。目前树木都是枯枝烂叶，没有绿意盎然的生机，风景和拍照都一般般啦！金殿还在装修中！,6
1716048000.0,陕西,4d993977-15bd-4761-9ea4-be04b187f72d,同程会员_99E34778E07,商业味太浓满满的套路！环境也不如三清山好！,6
1674662400.0,河南,4f236d5b-59ed-484d-817f-2ed24cfd79e8,同程会员_A7ECEDABF2E,总体满意，虽然是春节假期，我们冒着人满为患的风险，按照自己的时间规划完美错过人流高峰，顺利入园，一二级索道上行以及一级索道下行都在十分钟内完成，效率很高。二级索道下行时排队人多，果断步行下山到一级索道。整个游玩儿过程顺利通畅。景区管理比较规范，工作人员很多，都会认真热情地解答问题，面对巨大的客流，景区比较干净，这背后一定有更多的工作人员放弃节日休息，致敬。山下是冬天的正常温度，今天最高4度；一级索道到达中天门后，温度骤降，风也大起来，到达金顶后更冷了，风也更大。天气转暖前来玩一定多穿衣服，必备帽子、手套。春节期间完美的旅行，再见了栾川，再见老君山。,10
1691769600.0,河南,0dda830d-5974-4314-84a4-a16008b804a2,热心市民小王,风景很好，套餐也很划算，比分开买便宜的多,10
1709740800.0,陕西,196f4ad1-133b-42d8-86df-8602487632b9,同程会员_338C135BB36,老君山景区可以，导游自己忘了收费都过了一个月，然后他找我收费,3
1675267200.0,河南,e727f9b0-1670-45e9-b8a5-c081428b53fc,同程会员_F8F57568D9B,优点:风景还是不错了，十里画屏有种国画的美感，金殿也是非常出片的地方。缺点:道路修的比较的窄，如果客流量多了以后可能会拥堵，路上见到了两次因为拥堵而发生争吵的场景。管理糟糕，明明禁止携带火种，山上抽烟的人比比皆是，入口处的安检形同虚设。随处可见的**，甚至见到了，环卫工为了拿**篓底下的矿泉水瓶而把上面的泡面盖扔出去，我都惊呆了。山上的物价也是高，也爬了不少的山泰山，华山，黄山，太行山。都没有这么高的物价，山上的东西贵能理解但不能离谱吧。从来没有这么失望。总结:山上的风景还是不错的，是一个值得打卡的地点，也是非常的出片，但是对于注重旅游质量的人，我觉得需要考虑一下。,3
1697299200.0,河南,2fc08449-93d3-4783-96ae-cefddbb2cd60,金木水火土,景色特别美，满山的红叶刚刚变红！,10
1687881600.0,河南,0a3543e1-9f53-40cc-8bc5-684c06114a3c,同程会员_E11DA3B2DB9,非常不錯的一次體驗，同行的小袁導遊非常貼心，少走很多彎路。,10
1712505600.0,河南,b43e7831-78e9-4b9f-a50e-36b6be2c1e58,同程会员_D545D3FBA49,上山索道排队一个半小时，下山索道排队50分钟，山上没有云海，建筑都是2000年以后修的，不知道为什么那么火？一处古迹没有,3
1674662400.0,河南,02c370ec-6c87-4780-bcfe-c0bba540c6e4,同程会员_DBA44451132,风景很不错，就是人比较多，有点挤,6
1681488000.0,河南,a4696e5b-e8a5-4cbf-9563-55d061e0e08d,139ummzl855,非常棒非常非常值得一去,10
1697817600.0,河南,4836aa25-9ba9-4bfd-b840-6ee620b1e1e0,13891321213,超赞的景点。很开心，推荐索道一二都坐。山顶风景秀丽。就是人太多了。最好再来个无人机航拍,10
1696262400.0,河南,86c4b7f4-9779-4da2-ad69-5956eb1c4cb8,同程会员_EF73F647104,卫生不行，而且地方好小，是目前体验，最差的一次住行，床太硬了，睡不好！,3
1694966400.0,河南,6bdb22ef-a6d9-4609-99dd-38246f025791,同程会员_C4E31EA2230,小袁导游服务很好，讲解非常到位。整体一天玩下来很充实。,10
1679155200.0,河南,918f8be7-f6e4-4542-9f82-492eb5feddf5,同程会员_1E02C9E0B6F,不管是吃住都非常方便，景色漂亮又好玩，价格还不贵，很棒的体验,10
1696262400.0,河南,86a5938e-5f56-4d8e-907b-e4a16e3d690c,同程会员_AD5353F5C63,实在过份啦，说好的晚上八点返程回洛阳，等到马上9点半还没有发车！服务太差啦,3
1675526400.0,山西,2d61b021-c17b-4278-bd69-3589600a961e,E3192779BF2987D3,非常好，老君山的风景非常优美，第一段索道还是有必要坐的。,10
1681228800.0,河南,e985b821-5403-4dfa-8469-45ddff26427a,同程会员_3C39B7DBFEF,人比景都多  景区在建设中  好多景点不对外开放  金顶在维修,3
1711468800.0,未知,e777e3e5-e7de-47c8-9ffe-f179adc9960a,BB06C7B48662DB15,不虚此行啊，导游小邱美女介绍的太详细了，每一步都讲的明明白白的，是很温柔，知道的信息也多，特别特别喜欢，下次也爬的时候还找她,10
1682265600.0,北京,7eb2fa5a-a80d-4dbd-b8ef-5b5846ab85a2,同程会员_81AB11D281D,提前购票省心省时又省钱，👍老君山一定要来看看,10
1702051200.0,安徽,3b78b206-38cd-48f0-a7a8-8c826a6b4f81,4EF343541CEC4B99,方便快捷，略有优惠，还行吧！,10
1687536000.0,河南,ed202875-0d7c-47d2-b09d-ec0d90ffc8f6,同程会员_CADB19D43B1,性价比高，比自己个人出行更方便，服务态度好🉑,10
1696521600.0,安徽,153a89a6-8eae-4855-9ef5-c52ebd81bfe3,同程会员_064D5F162EA,好风光，祖国大好河山美哉！！！,10
1674489600.0,河南,9489e6b4-2ec5-46df-8fa6-41350e6bc0ba,E829DEE0901A3944,老君山风景区！风景这边独好!,10
1684339200.0,河北,12e78ee8-c2f1-4ed0-8d6e-802361bc0768,13832agqdta,网上订好票直接排队坐索道即可,10
1683129600.0,河南,effbd09c-06b0-4c16-b71d-5e7b5be959b4,同程会员_12E8B1B11BB,老君山，体验很不错哦！,10
1688745600.0,河南,f0f136c7-76c2-43f8-9537-cd08eaafb052,同程会员_AFA8744498B,一句青春没有售价  我的腿从山下抖到山上,10
1689436800.0,河北,7749a208-55e2-4199-be12-12f1811147f0,myt99ch,景色很好，值得一看。,10
1683561600.0,安徽,21ba557b-7567-4b9c-be47-457da7a5a8f9,晨曦宝贝2012,五一去的，要求提订票，看见了就定了，价格比实地买要优惠很多,10
1674576000.0,河南,1fdb0323-4f5b-472f-9a31-e49895b35128,13992sdaora,"景区工作人员服务好,景区景色一般。",6
1677081600.0,上海,ba9100b6-ef88-4160-a896-fac2fd80e39b,13661chygha,用法简单，值得购买，还次还会,10
1675872000.0,河南,d803d232-2ade-4a51-ab44-d23499693416,同程会员_C6AF7FD10C5,非常方便，购票时下载二维码，凭二维码进入景区。,10
1695484800.0,新疆,800b2e4d-5e06-4104-89f9-9cea164facdb,同程会员_46E2C673D7C,使用方便，价格优惠，推荐,10
1701014400.0,山东,3dacf0a4-9b3f-455f-b733-b4fad144f6a9,同程会员_CA3F4747B35,风景和别的地方比真的一般，必须坐索道,6
1682870400.0,河南,e4c97434-f03a-4719-a6a0-b88facc96b99,知足等于常乐,人真多，一次愉快的旅行,10
1692028800.0,河南,436fb249-7bfa-4f3e-9682-6a6521d29197,5D8970C0F2AE66C1,旅行愉快！风景如画，人间仙境。值得一去的,10
1675267200.0,河南,4de99d04-7668-4c37-996e-f355b8e50e6d,同程会员_903E39DE7D9,老君山挺好看，但是天气预报该**，山上没下雪，下次一定要看上雪景,10
1677859200.0,河南,f6267b3d-0900-4abd-a6b0-2bb102482c8d,同程会员_50F07B85871,如果热衷于山，建议去中华五大名山。老君山这两年才火，被捧起来的 ,3
1675267200.0,河南,d19f8480-899c-4e4d-91b5-f921ec90e2af,同程会员_1C00EA2008E,景色宜人，雪景更美，就是太滑了,10
1683129600.0,河南,56f8e529-65bb-4e2b-8a9a-c1a0e966257d,wzy1119,验票便捷，出行方便！,10
1682956800.0,河南,160e293c-7f50-473c-9090-03effef73a5a,同程会员_60C9B53CA11,十里画屏很惊艳，上面的金顶还可以,10
1682870400.0,河南,5af58182-8d59-47a5-bd85-cf4c5b1e9577,906A848F300E766C,挺好的，植被有点少哦,10
1673366400.0,河南,ef5ba9ca-16be-4511-be40-08d494e187ce,同程会员_533E24FF682,从信阳到洛阳，远赴人间惊鸿宴，不虚此行,10
1698595200.0,河南,da1932b2-168e-4bc0-9b58-82896be0348b,同程会员_0943E513D20,缆车很多 不累 四个小时够了,10
1692028800.0,河南,ab8dfd63-5f78-4574-8a6a-5ccc14c86f6d,5D8970C0F2AE66C1,人间仙境，山上风景如画。名不虚传！,10
1692806400.0,安徽,e70cdfa2-0f22-4d81-85f1-1a5fbe3d9211,Mikehu,有些优惠，还行，老君山适合一日游。,10
1702051200.0,安徽,00f21ab1-48f5-459e-9218-6d1bdf695695,4EF343541CEC4B99,方便快捷而且还省了15元，希望优惠力度更大点。,10
1676304000.0,湖北,277e922a-6f16-4640-868d-4238965036f4,同程会员_0FB3FA424E0,下雪天来的，雪景很不错！,10
1702396800.0,河南,4b147448-a7bf-42c3-b2a4-484cb6e0d0b4,33FC8F97B4BBE9E3,果然天上人间，惊鸿一瞥！,10
1691424000.0,河南,cf250c54-1883-4fe5-8f27-053845964577,同程会员_0E5322F0612,导游很负责任！细心开朗！,10
1672675200.0,未知,ef2eac43-00f4-4a79-a1fb-9a5d8ac69a1b,小小翼,好哈哈哈哈哈哈哈哈哈,10
1447689600.0,未知,d5b4295a-a9c7-43e1-bbdb-13d0a6b6727b,135****3910,刚好赶上了同程网的活动，花六元钱就买了平时一百六十元的双人票。说下这次旅行的经历吧，也给以后的游客说点经验。上午从郑州坐高铁到洛阳龙门站也就四十分钟，然后打车到王城大道等去栾川的车，也就十一块钱。其实客车都是从锦远汽车站出发，如果到老火车站就能直接坐了。高速要两个小时每人五十，低速没坐38元听说四五个小时太浪费时间，直接在半路下车离票务中心很近了。建议坐小车每人五块，能到景区大门中间下车买票，因为票务中心到景区门口还有不近的距离。到了景区才下午两点多就直奔左边那条路也就是中灵索道方向有很多宾馆，我们住的同程网买的金山宾馆。因为条件都差不多，都是三四层的新建小楼。安排好宾馆订好晚上和第二天早上的菜，因为淡季没人食材要提前准备。我们就去追梦谷方向，这个选择其实挺对的，当天天气不好下午没计划上山也是对的。追梦谷方向一般人都是到瀑布就停止了，我们三点半才出发，四点半天就有些昏了，离瀑布还有很远的路估计还得一个小时天肯定黑了，路上也都没人就上的时候有几个人淡季，下山的路就轻松多了又累又渴六点多到宾馆，饭很快做好还不赖。重点说下第二天吧，九点出发买了中灵索道往返票，这是淡季强烈推荐的。十分钟就坐上去到了，接着步行几分钟到峰林索道票务中心买票单上的，想着如果有体力省下下山的索道，这段也就五分钟。然后直奔十里画屏，旅游了那么多山这是最好看的山景和云景交织在一起，过了十里画屏有段路真不好走还好不长，上去之后有个岔口金顶道观群，和马什么岭其实就是伏牛山顶海拔2297米，这个最好不要漏过。也就二三百米，因为老君山最高峰和玻璃观景台都在这里，玻璃观景台有点小但对我这种胆小还是有些害怕的，女友比我胆大多了直接就跨上去。接着去金顶道观群上了南天门就是，一共五座，买了把同心锁和两个手链。这时候十二点发现雾特别多相隔十几米都看不到，上午还是阳光普照这时候去十里画屏就太可惜了。坐了滑道下到峰林索道每人二十感觉不是很远，就是因为滑道潮气大不太滑还要用脚自己。想早点回去女友也挺累的就买了峰林索道下行，接着又坐中灵索道下到山底。一路坐车就回去了。我们也算是全程索道，因为淡季人少正好是活动结束一共遇到不到十拨人搞得我们这遇到人就兴奋，也就没有单纯爬山的兴趣了，孤零零再山路上几个小时也没兴趣。整体感觉挺开心的，挺感谢同程网这次活动，给了我们这么多实惠。作为回报就认真写下这篇评论，希望同程网活动还能更多更全面。,10
